node1,node2,trail,distance,color,estimate
Arad,Zerind,AZ,75,red,0
Arad,Timisoara,AT,118,red,0
Arad,Sibiu,AS,140,red,0
Bucharest,Pitesti,BP,101,red,0
Bucharest,Fagaras,BF,211,red,0
Bucharest,Giurgiu,BG,90,red,0
Bucharest,Urziceni,BU,85,red,0
Craiova,Rimnicu Vilcea,CR,148,red,0
Craiova,Pitesti,CP,138,red,0
Craiova,Dobreta,CD,120,red,0
Dobreta,Craiova,DC,120,red,0
Dobreta,Mehadia,DM,75,red,0
Eforie,Hirsova,EH,86,red,0
Fagaras,Sibiu,FS,99,red,0
Fagaras,Bucharest,FB,211,red,0
Giurgiu,Bucharest,GB,90,red,0
Hirsova,Eforie,HF,86,red,0
Hirsova,Urziceni,HU,98,red,0
Lasi,Neamt,LN,87,red,0
Lasi,Vaslui,LV,92,red,0
Lugoj,Timisoara,LT,111,red,0
Lugoj,Mehadia,LM,70,red,0
Mehadia,Lugoj,ML,70,red,0
Mehadia,Dobreta,MD,75,red,0
Neamt,Lasi,NL,87,red,0
Oradea,Zerind,OZ,71,red,0
Oradea,Sibiu,OS,151,red,0
Pitesti,Rimnicu Vilcea,PR,97,red,0
Pitesti,Craiova,PC,138,red,0
Pitesti,Bucharest,PB,101,red,0
Rimnicu Vilcea,Sibiu,RS,80,red,0
Rimnicu Vilcea,Craiova,RC,148,red,0
Rimnicu Vilcea,Pitesti,RP,97,red,0
Sibiu,Arad,SA,140,red,0
Sibiu,Fagaras,SF,99,red,0
Sibiu,Rimnicu Vilcea,SR,80,red,0
Sibiu,Oradea,SO,151,red,0
Timisoara,Arad,TA,118,red,0
Timisoara,Lugoj,TL,111,red,0
Urziceni,Bucharest,UB,85,red,0
Urziceni,Hirsova,UH,98,red,0
Urziceni,Vaslui,UV,142,red,0
Vaslui,Lasi,VL,92,red,0
Vaslui,Urziceni,VU,142,red,0
Zerind,Arad,ZA,75,red,0
Zerind,Oradea,ZO,71,red,0
